서비스ID,서비스명,서비스 요약,상세 링크,시도명,시군구명,담당부서명,신청방법,지원주기,지급방식,생애주기,대상특성,관심주제,조회수,최종수정일
WLF00000771,국가보훈대상자 사망위로금 지급,국가보훈대상자 예우 및 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000771&wlfareInfoReldBztpCd=02,인천광역시,부평구,인천광역시 부평구 문화복지국 복지정책과,방문,1회성,현금지급,노년,보훈대상자,"서민금융, 안전·위기",232,20250619
WLF00000413,의치보철지원사업,치아의 결손으로 음식물 섭취가 어려운 저소득층을 대상으로 의치(틀니) 및 보철물 시술비를 지원하여 구강기능을 회복하고 건강생활을 영위토록 함.,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000413&wlfareInfoReldBztpCd=02,강원특별자치도,양구군,강원특별자치도 양구군 보건소 건강증진과,방문,월,현금지급,"노년, 청년, 중장년",저소득,서민금융,658,20250619
WLF00001036,인플루엔자(독감) 무료예방접종 확대 ,"인플루엔자 예방접종은 보건복지부 장관이 감염병 예방을 위해 필요하다고 지정한 동절기 호흡기 감염병 예방접종으로 
국가사업(만65세 이상 어르신, 생후6~12세 이하, 임신부)대상자 이외에 인플루엔자 고위험군인 60~64세 어르신, 만성질환자, 장애인 및 기초생활수급자, 차상위 계층, 국가유공자에게 무료접종을 확대하여 예방적 보건의료서비스 제공",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001036&wlfareInfoReldBztpCd=02,세종특별자치시,,세종특별자치시 보건소 보건의료과,,1회성,기타,노년,"장애인, 보훈대상자, 저소득",신체건강,1545,20250619
WLF00001381,산모신생아 건강관리서비스 본인부담금 지원,"출산가정에 산후관리를 도와주는 산모신생아 건강관리사를 파견하여 산모의 산후회복과 신생아의 건강증진을 
도모하고, 서비스가격중 본인부담금 일부를 지원함으로써 출산가정의 경제적 부담 경감 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001381&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국 영유아정책과,방문,1회성,현금지급,"임신 · 출산, 청소년, 중장년, 청년",,"서민금융, 임신·출산",1370,20250619
WLF00002050,출산장려금지원,"저출산,이농,노령화등에 따른 인구감소 현상에 적극 대처
다자녀 지원으로 출산,양육환경조성으로 경제적 부담 경감",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002050&wlfareInfoReldBztpCd=02,강원특별자치도,양양군,강원특별자치도 양양군 보건소 건강관리과,방문,월,현금지급,영유아,,서민금융,646,20250619
WLF00000772,구추가 저소득장애인 진단비 및 검사비 지원,장애인연금 수급률 향상 및 중증장애인의 생활 안정,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000772&wlfareInfoReldBztpCd=02,인천광역시,부평구,인천광역시 부평구 문화복지국 노인장애인과,방문,월,현금지급,"노년, 중장년, 청년","장애인, 저소득",서민금융,405,20250619
WLF00000163, 나비고을 출생아 출산축하 선물「행복함」,자녀를 출산한 임산부에게 양육에 필요한 물품을 지원하여 아이의 탄생을 축하하고 출산 친화적 환경 조성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000163&wlfareInfoReldBztpCd=02,전라남도,함평군,전라남도 함평군 보건소,방문,1회성,현물지급,"영유아, 임신 · 출산",,임신·출산,749,20250619
WLF00002447,출산축하용품 구입비 지원사업,양육에 필요한 출산축하용품 구입을 워한 지원금을 지원하여 출산가정의 경제적 부담 경감과 아이를 낳고 키우기 좋은 출산 친화적 환경 조성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002447&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 인구교육정책실,"방문, 인터넷",1회성,지역화폐,영유아,,서민금융,696,20250619
WLF00000987,장애인 자립생활 초기정착금 지원,시설퇴소 장애인의 자립생활을 위한 초기정착금 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000987&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 보건복지국 장애인복지과,방문,1회성,현금지급,"노년, 청년, 중장년",장애인,"보호·돌봄, 서민금융",618,20250619
WLF00004433,영광군 양육비 지원,육아비용의 부담을 경감하고 출산을 장력함으로써 출산율 저하 등의 사회문제에 적극 대처하기 위함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004433&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 인구교육정책실,"방문, 인터넷",월,"현금지급, 지역화폐",영유아,,"서민금융, 입양·위탁",2000,20250619
WLF00003835,한부모가족 동절기 생활안정 지원,○ 저소득한부모가족에 난방연료비 및 월동대책비 지원하여 겨울철 생활안정 및 복지증진 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003835&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국 인구가족과,,년,현금지급,중장년,한부모·조손,서민금융,1988,20250619
WLF00001575,한부모가족 자녀교육비 지원,저소득 한부모가족 자녀교육비 지원으로 안정된 교육환경 조성 및 자립역량 강화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001575&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국,,년,현금지급,"청소년, 아동",한부모·조손,"교육, 서민금융",1479,20250619
WLF00000584,주거취약계층 노후주택 개량 사업,"차상위 계층의 주거환경 정비, 노후주택 개량 등 맞춤형 생활환경 개선을 통한 주거안정과 삶의 질 향상",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000584&wlfareInfoReldBztpCd=02,강원특별자치도,홍천군,강원특별자치도 홍천군 건설안전국 토지주택과,방문,1회성,현물지급,,"저소득, 한부모·조손",,1107,20250619
WLF00001454,대상포진 예방접종사업,의료기관이 없는 도서지역 취약계층 고령인구의 질병을 예방하여 건강한 삶의 질 향상 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001454&wlfareInfoReldBztpCd=02,인천광역시,옹진군,인천광역시 옹진군 보건소,방문,1회성,기타,"중장년, 노년",,일자리,665,20250619
WLF00001190,장애인 재활신문정보 보급,"장애인복지와 관련된 다양한 정책 및 사업, 생활정보 등을 주기적으로 제공함으로써 
장애인의 정보접근권 보장 및 사회참여 기회제공",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001190&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 보건복지국 장애인복지과,방문,월,기타,"노년, 청소년, 중장년, 청년",장애인,,318,20250619
WLF00001682,깔끄미 세탁서비스 제공(경남형 희망나눔 통합돌봄),"거동이 불편한 노인, 장애인 등 돌봄이 필요한 가구 세탁서비스 제공",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001682&wlfareInfoReldBztpCd=02,경상남도,창녕군,경상남도 창녕군 행정복지국 행복나눔과,,월,프로그램/서비스(서비스),,,,567,20250619
WLF00002403,보훈명예수당 지원,국가를 위해 희생·공헌자의 자긍심을 높이고 복지향상 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002403&wlfareInfoReldBztpCd=02,전라남도,광양시,전라남도 광양시 시민복지국 주민복지과,방문,분기,현금지급,"노년, 중장년, 청년",보훈대상자,서민금융,884,20250619
WLF00000353,국민기초생활보장수급자 수도분기관연결 사업,기초생활수급가구에 대하여 수도분기관을 연결지원하여 수급자 가구에 깨끗하고 안정적인 상수도 공급,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000353&wlfareInfoReldBztpCd=02,강원특별자치도,철원군,강원특별자치도 철원군 주민생활지원실,방문,년,현물지급,"중장년, 청년, 청소년, 노년, 영유아, 아동",저소득,,337,20250619
WLF00000848,의료급여수급자 노인틀니 본인부담금 지원," 치아의 결손으로 음식물 섭취가 자유롭지 못한 65세 이상 의료급여 수급 어르신을 대상으로 의치(틀니)시술 시 
본인부담금을  지원하여 구강기능 회복에 기여하고 건강한 생활을 영위토록 지원코자 함.",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000848&wlfareInfoReldBztpCd=02,부산광역시,중구,부산광역시 중구 경제복지국 생활보장과,"우편, 방문, 팩스",1회성,현금지급,노년,저소득,서민금융,3600,20250619
WLF00001819,강원도 다문화복지신문 구독 지원,도내 가정의 건강한 생화 영위를 위해 가족의 유대감 강화를 위한 다양하고 깊이있는 정보제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001819&wlfareInfoReldBztpCd=02,강원특별자치도,,강원특별자치도 복지보건국 여성청소년가족과,,월,기타,"노년, 청소년, 중장년, 청년",,,441,20250619
WLF00000197,이동세탁서비스 운영 지원,"홀로사는 노인, 장애인, 경로당 등 어르신 이용시설에 찾아가 빨래 서비스 지원
- 이불 등 대형빨래 지원",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000197&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 가정행복과,"방문, 전화",주,자원봉사,노년,,,283,20250619
WLF00002695,아동급식 지원(방학 중 중식 지원),결식아동 또는 결식이 우려되는 아동을 대상으로 방학중 아동급식 서비스를 지원하여 아동의 건전육성과 사회통합에 기여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002695&wlfareInfoReldBztpCd=02,강원특별자치도,,강원도 복지국 복지정책과,방문,반기,"실물바우처, 전자바우처(바우처), 프로그램/서비스(서비스)","아동, 청소년","한부모·조손, 저소득",안전·위기,4168,20250619
WLF00000134,신생아및입양영아건강보험료 지원,"출산율 저하로 인한 인구감소현상에 적극 대처하고, 출산장려분위기를 조성하고 군내 아동의 건강관리에 소요되는 경제적 부담을 경감하기 위함",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000134&wlfareInfoReldBztpCd=02,경상북도,청도군,경상북도 청도군 보건소 건강증진과,"방문, 인터넷",월,현금지급,"영유아, 임신 · 출산",,"입양·위탁, 서민금융, 임신·출산",473,20250619
WLF00002903,출산지원금,자녀의 임신· 출산 ·양육 등에 소요되는 경제적 부담을 경감하기 위하여 출산장려 및 건강증진 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002903&wlfareInfoReldBztpCd=02,경상북도,청도군,경상북도 청도군 보건소,"방문, 인터넷",월,현금지급,"임신 · 출산, 영유아",,"서민금융, 임신·출산, 입양·위탁",1237,20250619
WLF00001553,참전유공자 명예수당 및 사망위로금 지원,국가에 헌신 공헌한 참전유공자들에게 명예수당 지원 등 예우 및 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001553&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 행정국 보훈정책과,방문,월,현금지급,,보훈대상자,서민금융,1262,20250619
WLF00000988,청각장애인 인공달팽이관 수술지원,청각장애인에게 인공달팽이 이식 수술비와 재활(매핑)치료비를 지원하여 정상적인 언어생활 및 장애인 가정의 의료비 부담 경감,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000988&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 보건복지국 장애인복지과,방문,1회성,기타,"청년, 청소년, 아동, 영유아",장애인,,343,20250619
WLF00002580,국가보훈대상자 보훈예우수당 지급,"국가보훈대상자들에게 보훈예우수당을 지급하여 국가를 위하여
희생하거나 공헌하신 국가유공자들의 숭고한 정신과 명예를 선양 하고, 복지증진에 기여하고자 함.  
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002580&wlfareInfoReldBztpCd=02,인천광역시,부평구,인천광역시 부평구 문화복지국 복지정책과,방문,월,현금지급,노년,보훈대상자,"입양·위탁, 서민금융",331,20250619
WLF00000542,무료빨래방 지원사업,무료빨래방 운영을 통하여 노인가장 및 저소득 노인세대의 삶의 질 향상 및 편의증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000542&wlfareInfoReldBztpCd=02,경상남도,산청군,경상남도 산청군 행정복지국 행복나눔과,,수시,자원봉사,노년,한부모·조손,,583,20250619
WLF00001272,도담도담 장난감월드(대여점) 운영 지원,"영유아 발달에 적합한 장난감ㆍ도서ㆍ영상자료를 무료로 대여함으로써 가정의 육아비용을 줄이고,
영유아와 가족의 건전한 놀이 활동지원을 통하여 영유아의 총체적 발달을 도모 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001272&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국 영유아정책과,"방문, 인터넷",수시,기타,영유아,,입양·위탁,699,20250619
WLF00004442,가정위탁아동 양육비 지원사업,가정위탁 양육비 지원을 통한 위탁가정의 양육비 부담경감과 가정위탁아동의 복지증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004442&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국 아동정책과,방문,월,현금지급,"아동, 영유아, 청소년",저소득,"서민금융, 입양·위탁, 보호·돌봄, 주거",1105,20250619
WLF00000984,가정위탁아동 진로지원 사업,가정위탁 보호아동에게 다양한 서비스 제공을 통한 건강한 성장 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000984&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 여성가족국 아동정책과,방문,월,현금지급,"영유아, 아동, 청소년",저소득,"서민금융, 입양·위탁, 보호·돌봄, 주거",742,20250619
WLF00003602,저소득노인가구 건강보험료 지원,국민건강보험공단에서 선정한 저소득 노인가구에 대하여 국민건강보험료 및 노인장기요양보험료를 지원함으로써 노인의 건강증진과 사회복지 향상 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003602&wlfareInfoReldBztpCd=02,강원특별자치도,춘천시,강원특별자치도 춘천시 복지국 고령사회정책과,,월,기타,노년,,,308,20250619
WLF00000378,저소득주민 건강보험료 및 장기요양보험료 지원,"경제적 곤란으로 건강보험료를 납부하지 못하는
의료사각지대에 놓인 저소득층 주민들에게 건강보험료 및 노인장기요양보험료를
지원하여 이들의 건강보호와 복지향상 도모",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000378&wlfareInfoReldBztpCd=02,경상북도,,경상북도 경북도립대학교 학과 사회복지과,,월,감면,,,서민금융,455,20250619
WLF00001847,보호아동 생활안정 지원,보호아동의 권리 및 복지증진과 대학교 진학한 보호아동의 학업포기방지와 보호종결 후 독립하여 생활할 수 있는 여건조성으로 건전한 사회인 육성,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001847&wlfareInfoReldBztpCd=02,강원특별자치도,,강원특별자치도 복지보건국 복지정책과,방문,1회성,현금지급,"아동, 청소년, 청년",한부모·조손,"입양·위탁, 서민금융, 보호·돌봄, 주거, 교육",811,20250619
WLF00000164,함평군 노인세대 건강보험료 및 장기요양보험료 지원사업,노령 등으로 인하여 생활에 어려움을 겪고 있는 노인세대에 건강보험료 및 장기요양보험료를 지원함으로써 건강증진과 복지향상 도모를 목적으로 한다,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000164&wlfareInfoReldBztpCd=02,전라남도,함평군,전라남도 함평군 가족행복과,방문,수시,기타,노년,,,342,20250619
WLF00001641,무의탁독거노인 지원사업,무의탁독거노인 지원을 통한 독거노인 생활안정 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001641&wlfareInfoReldBztpCd=02,충청남도,보령시,충청남도 보령시 행정지원국 경로장애인과,,월,현물지급,노년,,,246,20250619
WLF00002311,경로우대 목욕이용권 지원사업,노후생활 안정 및 건강증진 기여,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002311&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 가정행복과,방문,반기,실물바우처,노년,,입양·위탁,786,20250619
WLF00002891,이동세탁,거동불편자 가정에 청결하고 위생적인 환경 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002891&wlfareInfoReldBztpCd=02,충청북도,음성군,충청북도 음성군 행정복지국 주민지원과,방문,년,현금지급,"청년, 중장년, 노년","장애인, 한부모·조손, 저소득",서민금융,389,20250619
WLF00004526,노인 목욕비  및 이미용비 지원,산청군에 거주하는 어르신에 대한 심신의 건강유지 등 보건복지증진,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004526&wlfareInfoReldBztpCd=02,경상남도,산청군,경상남도 산청군 행정복지국 행복나눔과,,분기,전자바우처(바우처),노년,저소득,,1422,20250619
WLF00002975,저소득주민자녀 장학금 지원 ,저소득 가정의 자녀에 대하여 교육비 부담을 경감하고 인재 양성을 위하여 장학금 지원  ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002975&wlfareInfoReldBztpCd=02,강원특별자치도,홍천군,강원특별자치도 홍천군 행정복지국 복지과,방문,년,현금지급,"청년, 청소년",저소득,서민금융,1335,20250619
WLF00003162,가정위탁아동 양육지원,"요보호 아동을 보호, 양육하기를 희망하는 가정에 위탁 양육함으로써 가정적인 분위기에서 건전한 사회인으로 자랄수 있도록 함.
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003162&wlfareInfoReldBztpCd=02,강원특별자치도,철원군,강원특별자치도 철원군 주민생활지원실,방문,월,현금지급,"영유아, 아동, 청소년",,"서민금융, 입양·위탁",523,20250619
WLF00004401,경상북도의사상자 지원,의사상자 및 위사자 유가족에 대하여 그 희생과 피해의 정도에 알맞은 예우 및 지원을 통해 이들의 숭고한 뜻을 기리고 도민의 귀감으로 삼고자 함,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004401&wlfareInfoReldBztpCd=02,경상북도,,경상북도 경북도립대학교 학과 사회복지과,방문,월,현금지급,,,서민금융,630,20250619
WLF00001359,보훈가족 격려,"나라를 위하여 희생·공헌한 국가유공자와 유족을 위문,격려함으로써 유공자의 영예로운 삶 도모와 예우실현",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001359&wlfareInfoReldBztpCd=02,인천광역시,,인천광역시 행정국 보훈정책과,,년,현금지급,,보훈대상자,서민금융,478,20250619
WLF00003522,장애인 보장구 수리비 지원,생활이 어려운 장애인에게 보장구 수리비 지원을 통하여 경제적 부담을 경감하고 도로주행에 따른 안전 확보 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003522&wlfareInfoReldBztpCd=02,강원특별자치도,평창군,강원특별자치도 평창군 행정지원국 복지정책과,방문,1회성,기타,,"저소득, 장애인",,929,20250619
WLF00002408,저소득층 노인세대 건강보험료 지원,광양시 저소득층 노인세대(최저보험료 이하 부과자) 건강보험료 지원으로 보험금 부담완화,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002408&wlfareInfoReldBztpCd=02,전라남도,광양시,전라남도 광양시 시민복지국 주민복지과,,월,감면,노년,,서민금융,529,20250619
WLF00004313,넷째아 이상 출산지원금 지급,시민의 삶의 질 향상과 출산친화적인 사회분위기 조성을 위하여 넷째아 이상 자녀 출산 시 출산지원금 지급,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004313&wlfareInfoReldBztpCd=02,경기도,부천시,경기도 부천시 복지위생국 여성가족과,방문,월,현금지급,"임신 · 출산, 영유아",,"임신·출산, 서민금융, 입양·위탁",9458,20250619
WLF00002051,위기사례관리가구 지원,"1. 통합사례관리가구의 낡고 노후한 주택 집수리 사업을 통해 열악한 주거환경을 개선하여 일상생활 편의 및 삶의 질 향상 도모
2. 주거환경이 열악하지만 공공자원 미지원 주거 취약계층의 주거환경 개선으로 안전하고 건강한 생활에 도움을 주고자 함",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002051&wlfareInfoReldBztpCd=02,강원특별자치도,양양군,강원특별자치도 양양군 복지정책과,"방문, 전화",1회성,기타,"영유아, 아동, 노년, 청년, 중장년, 청소년","저소득, 다문화·탈북민, 다자녀, 장애인, 한부모·조손",입양·위탁,1116,20250619
WLF00001815,무주택 국민기초생활수급자 지원,무주택 국민기초생활수급자를 위한 수급자 복지주택 유지보수,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001815&wlfareInfoReldBztpCd=02,강원특별자치도,양양군,강원특별자치도 양양군 도시계획과,방문,1회성,기타,"중장년, 청년, 청소년, 영유아, 아동, 노년",저소득,,2512,20250619
WLF00000414,재가노인 식사배달사업,노인의 독립적인 생활을 지원하기 위하여 반찬배달 서비스 제공,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000414&wlfareInfoReldBztpCd=02,강원특별자치도,양구군,강원특별자치도 양구군 행정복지국 사회복지과,,주,현물지급,노년,,안전·위기,980,20250619
WLF00003493,여성결혼이민자친정보내주기지원,"
▪ 다문화가정의 모국 방문 기회를 제공하여 가족 간 관계 증진, 다문화자녀의 긍정적인 자아정체성 형성, 모의 나라에 대한 이해 증진을 기여
▪ 다문화가정 지원 정책 중 수요가 많고 만족도가 높은 모국방문 지원사업 추진으로 다문화가족의 복지 체감도 향상 지원 ",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003493&wlfareInfoReldBztpCd=02,강원특별자치도,양구군,강원특별자치도 양구군 행정복지국 평생교육과,방문,1회성,기타,"중장년, 노년, 아동, 영유아, 청소년, 청년",다문화·탈북민,,627,20250619
WLF00001475,재가노인 지원운영,저소득 재가노인에게 다양한 복지서비스 지원을통해 삶의 질 향상 및 사회적 안전망 구축,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001475&wlfareInfoReldBztpCd=02,인천광역시,옹진군,인천광역시 옹진군 행정복지국 사회복지과,"방문, 우편",월,현금지급,노년,,서민금융,683,20250619
WLF00004338,생활안정자금 융자,경제적 어려움으로 자립의욕은 있으나 재정기반이 취약한 저소득 구민의 생활안정과 자립 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004338&wlfareInfoReldBztpCd=02,서울특별시,도봉구,서울특별시 도봉구 기획재정국 지역경제과,방문,1회성,현금대여(융자),,,,1612,20250619
WLF00003397,보훈대상자 가구 위문,국가를 위해 헌신하신 보훈가족 위문,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00003397&wlfareInfoReldBztpCd=02,강원특별자치도,고성군,강원특별자치도 고성군 행정복지국 복지과,,반기,현물지급,노년,보훈대상자,,388,20250619
WLF00004417,장애인교통비 지급,장애인에 대한 교통비 지원으로 이동 및 교통수단 등에서의 차별금지 예방 도모,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004417&wlfareInfoReldBztpCd=02,전라남도,광양시,전라남도 광양시 시민복지국 노인장애인과,방문,월,현금지급,,장애인,서민금융,1545,20250619
WLF00002380,장수수당,"출생년도가 1935년 이전 출생자 및 2015년 12월 31일 현재 계룡시에 주민등록을 두고 계속 거주하고 있는 어르신에게 일정액의 수당을 지급하여 노후 생활안정 지원
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002380&wlfareInfoReldBztpCd=02,충청남도,계룡시,충청남도 계룡시 행정복지국 가족행복과,,월,현금지급,노년,,서민금융,499,20250619
WLF00004216,부랑인 및 행려자 보호 ,행려자 발생시 숙박비 및 귀향 여비 지급 ,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004216&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 사회복지과,방문,1회성,"현물지급, 현금지급",,,서민금융,461,20250619
WLF00002448,무연고 사망자 지원,무연고 사망자에 대한 행정처리 절차로 인한 장제 처리 지원,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002448&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 가정행복과,,수시,현금지급,,,서민금융,389,20250619
WLF00002449,화장장려금 지원,매장위주의 장사제도를 합리적으로 개선하고 화장문화의 전환 도모 묘지증가에 따른 국토 훼손방지로 국민의 보건 위생상의 위해 방지 및 국토의 효율적 이용 화장장려금 지원으로 대주민 의식변화 제고 및 공공복리 증진에 이바지,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00002449&wlfareInfoReldBztpCd=02,전라남도,영광군,전라남도 영광군 가정행복과,방문,월,현금지급,,,서민금융,299,20250619
WLF00004160,참전유공자 명예수당 지원,"대한민국의 자유와 평화를 수호하기 위해 6.25 및 월남전쟁에 참여한
이들과 국가유공자들의 자긍심을 높이고 복지향상 지원
",https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00004160&wlfareInfoReldBztpCd=02,전라남도,광양시,전라남도 광양시 시민복지국 주민복지과,방문,월,현금지급,노년,보훈대상자,서민금융,338,20250619
